T,p Mpa,Tc,Pc,Tr,Pr
263.385,1.1075,358.9,3.1495,0.7338673725271664,0.35164311795523095
263.46666666666664,1.61783,358.9,3.1495,0.73409491966193,0.5136783616447055
263.37833333333333,2.1755,358.9,3.1495,0.7338487972508592,0.6907445626289886
263.54166666666663,2.742,358.9,3.1495,0.7343038915203863,0.8706143832354342
273.4866666666666,1.035,358.9,3.1495,0.7620135599517042,0.32862359104619776
273.76166666666666,1.639,358.9,3.1495,0.7627797900993778,0.5204000635021432
273.51,2.16163,358.9,3.1495,0.7620785734187796,0.6863406889982537
273.476,2.7346,358.9,3.1495,0.7619838395096128,0.8682648039371328
283.7371428571428,1.112,358.9,3.1495,0.7905743740795287,0.353071916177171
283.62166666666667,1.687,358.9,3.1495,0.7902526237577785,0.535640577869503
283.83,2.084,358.9,3.1495,0.7908331011423795,0.6616923321162089
283.7685714285714,2.608,358.9,3.1495,0.7906619432392629,0.8280679472932211
292.55499999999995,1.038,358.9,3.1495,0.8151434940094733,0.3295761231941578
294.894,1.5894,358.9,3.1495,0.8216606297018669,0.5046515319892045
293.55199999999996,2.1206,358.9,3.1495,0.8179214265812204,0.6733132243213208
293.39,2.608,358.9,3.1495,0.8174700473669546,0.8280679472932211
303.71999999999997,1.0325,358.9,3.1495,0.8462524380050153,0.32782981425623114
303.705,1.56625,358.9,3.1495,0.8462106436333241,0.4973011589141133
303.6925,2.0845,358.9,3.1495,0.8461758149902481,0.6618510874742022
303.59999999999997,2.726,358.9,3.1495,0.8459180830314851,0.8655342117796475
